trial_id,source_filename,open_reference_relpath,open_reference_url,item1_role,item1_relpath,item1_url,item2_role,item2_relpath,item2_url,item3_role,item3_relpath,item3_url,item4_role,item4_relpath,item4_url,item5_role,item5_relpath,item5_url,item6_role,item6_relpath,item6_url,item7_role,item7_relpath,item7_url,item8_role,item8_relpath,item8_url
1,1320_122612_000030_000000.wav,ref/01_1320_122612_000030_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/ref/01_1320_122612_000030_000000.wav,sys3,sys3/01_1320_122612_000030_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys3/01_1320_122612_000030_000000.wav,sys6,sys6/01_1320_122612_000030_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys6/01_1320_122612_000030_000000.wav,sys2,sys2/01_1320_122612_000030_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys2/01_1320_122612_000030_000000.wav,sys1,sys1/01_1320_122612_000030_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys1/01_1320_122612_000030_000000.wav,sys5,sys5/01_1320_122612_000030_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys5/01_1320_122612_000030_000000.wav,hidden_ref,hidden_ref/01_1320_122612_000030_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/hidden_ref/01_1320_122612_000030_000000.wav,anchor,anchor/01_1320_122612_000030_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/anchor/01_1320_122612_000030_000000.wav,sys4,sys4/01_1320_122612_000030_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys4/01_1320_122612_000030_000000.wav
2,6829_68769_000038_000000.wav,ref/02_6829_68769_000038_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/ref/02_6829_68769_000038_000000.wav,sys4,sys4/02_6829_68769_000038_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys4/02_6829_68769_000038_000000.wav,anchor,anchor/02_6829_68769_000038_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/anchor/02_6829_68769_000038_000000.wav,hidden_ref,hidden_ref/02_6829_68769_000038_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/hidden_ref/02_6829_68769_000038_000000.wav,sys3,sys3/02_6829_68769_000038_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys3/02_6829_68769_000038_000000.wav,sys6,sys6/02_6829_68769_000038_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys6/02_6829_68769_000038_000000.wav,sys5,sys5/02_6829_68769_000038_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys5/02_6829_68769_000038_000000.wav,sys2,sys2/02_6829_68769_000038_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys2/02_6829_68769_000038_000000.wav,sys1,sys1/02_6829_68769_000038_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys1/02_6829_68769_000038_000000.wav
3,2300_131720_000026_000000.wav,ref/03_2300_131720_000026_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/ref/03_2300_131720_000026_000000.wav,sys4,sys4/03_2300_131720_000026_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys4/03_2300_131720_000026_000000.wav,hidden_ref,hidden_ref/03_2300_131720_000026_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/hidden_ref/03_2300_131720_000026_000000.wav,sys3,sys3/03_2300_131720_000026_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys3/03_2300_131720_000026_000000.wav,anchor,anchor/03_2300_131720_000026_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/anchor/03_2300_131720_000026_000000.wav,sys5,sys5/03_2300_131720_000026_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys5/03_2300_131720_000026_000000.wav,sys6,sys6/03_2300_131720_000026_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys6/03_2300_131720_000026_000000.wav,sys2,sys2/03_2300_131720_000026_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys2/03_2300_131720_000026_000000.wav,sys1,sys1/03_2300_131720_000026_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys1/03_2300_131720_000026_000000.wav
4,4970_29095_000028_000004.wav,ref/04_4970_29095_000028_000004.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/ref/04_4970_29095_000028_000004.wav,sys4,sys4/04_4970_29095_000028_000004.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys4/04_4970_29095_000028_000004.wav,sys2,sys2/04_4970_29095_000028_000004.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys2/04_4970_29095_000028_000004.wav,sys5,sys5/04_4970_29095_000028_000004.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys5/04_4970_29095_000028_000004.wav,sys6,sys6/04_4970_29095_000028_000004.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys6/04_4970_29095_000028_000004.wav,sys1,sys1/04_4970_29095_000028_000004.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys1/04_4970_29095_000028_000004.wav,anchor,anchor/04_4970_29095_000028_000004.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/anchor/04_4970_29095_000028_000004.wav,sys3,sys3/04_4970_29095_000028_000004.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys3/04_4970_29095_000028_000004.wav,hidden_ref,hidden_ref/04_4970_29095_000028_000004.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/hidden_ref/04_4970_29095_000028_000004.wav
5,2961_961_000011_000000.wav,ref/05_2961_961_000011_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/ref/05_2961_961_000011_000000.wav,sys3,sys3/05_2961_961_000011_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys3/05_2961_961_000011_000000.wav,anchor,anchor/05_2961_961_000011_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/anchor/05_2961_961_000011_000000.wav,sys5,sys5/05_2961_961_000011_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys5/05_2961_961_000011_000000.wav,sys6,sys6/05_2961_961_000011_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys6/05_2961_961_000011_000000.wav,sys1,sys1/05_2961_961_000011_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys1/05_2961_961_000011_000000.wav,sys4,sys4/05_2961_961_000011_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys4/05_2961_961_000011_000000.wav,sys2,sys2/05_2961_961_000011_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys2/05_2961_961_000011_000000.wav,hidden_ref,hidden_ref/05_2961_961_000011_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/hidden_ref/05_2961_961_000011_000000.wav
6,5683_32866_000047_000005.wav,ref/06_5683_32866_000047_000005.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/ref/06_5683_32866_000047_000005.wav,anchor,anchor/06_5683_32866_000047_000005.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/anchor/06_5683_32866_000047_000005.wav,sys6,sys6/06_5683_32866_000047_000005.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys6/06_5683_32866_000047_000005.wav,sys1,sys1/06_5683_32866_000047_000005.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys1/06_5683_32866_000047_000005.wav,sys5,sys5/06_5683_32866_000047_000005.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys5/06_5683_32866_000047_000005.wav,sys3,sys3/06_5683_32866_000047_000005.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys3/06_5683_32866_000047_000005.wav,hidden_ref,hidden_ref/06_5683_32866_000047_000005.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/hidden_ref/06_5683_32866_000047_000005.wav,sys4,sys4/06_5683_32866_000047_000005.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys4/06_5683_32866_000047_000005.wav,sys2,sys2/06_5683_32866_000047_000005.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys2/06_5683_32866_000047_000005.wav
7,4446_2275_000048_000000.wav,ref/07_4446_2275_000048_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/ref/07_4446_2275_000048_000000.wav,sys6,sys6/07_4446_2275_000048_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys6/07_4446_2275_000048_000000.wav,sys2,sys2/07_4446_2275_000048_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys2/07_4446_2275_000048_000000.wav,sys1,sys1/07_4446_2275_000048_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys1/07_4446_2275_000048_000000.wav,sys4,sys4/07_4446_2275_000048_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys4/07_4446_2275_000048_000000.wav,hidden_ref,hidden_ref/07_4446_2275_000048_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/hidden_ref/07_4446_2275_000048_000000.wav,sys3,sys3/07_4446_2275_000048_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys3/07_4446_2275_000048_000000.wav,sys5,sys5/07_4446_2275_000048_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys5/07_4446_2275_000048_000000.wav,anchor,anchor/07_4446_2275_000048_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/anchor/07_4446_2275_000048_000000.wav
8,908_157963_000020_000000.wav,ref/08_908_157963_000020_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/ref/08_908_157963_000020_000000.wav,sys2,sys2/08_908_157963_000020_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys2/08_908_157963_000020_000000.wav,hidden_ref,hidden_ref/08_908_157963_000020_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/hidden_ref/08_908_157963_000020_000000.wav,sys6,sys6/08_908_157963_000020_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys6/08_908_157963_000020_000000.wav,sys5,sys5/08_908_157963_000020_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys5/08_908_157963_000020_000000.wav,sys4,sys4/08_908_157963_000020_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys4/08_908_157963_000020_000000.wav,sys1,sys1/08_908_157963_000020_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys1/08_908_157963_000020_000000.wav,sys3,sys3/08_908_157963_000020_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys3/08_908_157963_000020_000000.wav,anchor,anchor/08_908_157963_000020_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/anchor/08_908_157963_000020_000000.wav
9,5105_28241_000016_000000.wav,ref/09_5105_28241_000016_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/ref/09_5105_28241_000016_000000.wav,sys4,sys4/09_5105_28241_000016_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys4/09_5105_28241_000016_000000.wav,anchor,anchor/09_5105_28241_000016_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/anchor/09_5105_28241_000016_000000.wav,sys1,sys1/09_5105_28241_000016_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys1/09_5105_28241_000016_000000.wav,sys2,sys2/09_5105_28241_000016_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys2/09_5105_28241_000016_000000.wav,hidden_ref,hidden_ref/09_5105_28241_000016_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/hidden_ref/09_5105_28241_000016_000000.wav,sys6,sys6/09_5105_28241_000016_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys6/09_5105_28241_000016_000000.wav,sys3,sys3/09_5105_28241_000016_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys3/09_5105_28241_000016_000000.wav,sys5,sys5/09_5105_28241_000016_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys5/09_5105_28241_000016_000000.wav
10,3570_5696_000011_000007.wav,ref/10_3570_5696_000011_000007.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/ref/10_3570_5696_000011_000007.wav,sys6,sys6/10_3570_5696_000011_000007.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys6/10_3570_5696_000011_000007.wav,sys4,sys4/10_3570_5696_000011_000007.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys4/10_3570_5696_000011_000007.wav,hidden_ref,hidden_ref/10_3570_5696_000011_000007.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/hidden_ref/10_3570_5696_000011_000007.wav,sys2,sys2/10_3570_5696_000011_000007.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys2/10_3570_5696_000011_000007.wav,sys1,sys1/10_3570_5696_000011_000007.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys1/10_3570_5696_000011_000007.wav,anchor,anchor/10_3570_5696_000011_000007.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/anchor/10_3570_5696_000011_000007.wav,sys5,sys5/10_3570_5696_000011_000007.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys5/10_3570_5696_000011_000007.wav,sys3,sys3/10_3570_5696_000011_000007.wav,https://xhjiang1.github.io/wav4mushra/publish/0.65kbps/sys3/10_3570_5696_000011_000007.wav
